protein_group,precursor_num,scan_num
sp|E9PRG8|CK098_HUMAN,1,1
sp|G2XKQ0|SUMO5_HUMAN;sp|P63165|SUMO1_HUMAN,1,1
sp|G9CGD6|CNIPF_HUMAN;sp|Q6P9H4|CNKR3_HUMAN,1,1
sp|H3BQB6|STMD1_HUMAN,1,1
sp|H7BZ55|CRCC2_HUMAN,1,1
sp|M0R2J8|DCDC1_HUMAN,1,1
sp|O00115|DNS2A_HUMAN,2,2
sp|O00116|ADAS_HUMAN,41,68
sp|O00139|KIF2A_HUMAN,7,7
sp|O00148|DX39A_HUMAN,8,11
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN,11,26
sp|O00151|PDLI1_HUMAN,47,108
sp|O00154|BACH_HUMAN,10,17
sp|O00159|MYO1C_HUMAN,21,27
sp|O00161|SNP23_HUMAN,9,11
sp|O00165|HAX1_HUMAN,5,5
sp|O00170|AIP_HUMAN,12,20
sp|O00178|GTPB1_HUMAN,10,12
sp|O00186|STXB3_HUMAN,3,4
sp|O00193|SMAP_HUMAN,10,20
sp|O00203|AP3B1_HUMAN,6,12
sp|O00203|AP3B1_HUMAN;sp|Q13367|AP3B2_HUMAN,3,5
sp|O00204|ST2B1_HUMAN,3,3
sp|O00214|LEG8_HUMAN,1,1
sp|O00217|NDUS8_HUMAN,4,6
sp|O00221|IKBE_HUMAN,1,2
sp|O00231|PSD11_HUMAN,23,33
sp|O00232|PSD12_HUMAN,14,28
sp|O00233|PSMD9_HUMAN,6,6
sp|O00244|ATOX1_HUMAN,4,7
sp|O00255|MEN1_HUMAN,4,4
sp|O00257|CBX4_HUMAN,2,2
sp|O00264|PGRC1_HUMAN,7,9
sp|O00264|PGRC1_HUMAN;sp|O15173|PGRC2_HUMAN,2,2
sp|O00267|SPT5H_HUMAN,13,19
sp|O00268|TAF4_HUMAN,2,2
sp|O00273|DFFA_HUMAN,13,19
sp|O00291|HIP1_HUMAN,2,2
sp|O00291|HIP1_HUMAN;sp|O75146|HIP1R_HUMAN,1,1
sp|O00299|CLIC1_HUMAN,20,58
sp|O00303|EIF3F_HUMAN,7,9
sp|O00308|WWP2_HUMAN,2,2
sp|O00311|CDC7_HUMAN,1,1
sp|O00330|ODPX_HUMAN,7,8
sp|O00338|ST1C2_HUMAN,1,1
sp|O00341|EAA5_HUMAN,1,1
sp|O00391|QSOX1_HUMAN,1,1
sp|O00399|DCTN6_HUMAN,2,3
sp|O00400|ACATN_HUMAN,1,1
sp|O00401|WASL_HUMAN,7,11
sp|O00410|IPO5_HUMAN,32,45
sp|O00411|RPOM_HUMAN,5,5
sp|O00422|SAP18_HUMAN,3,9
sp|O00425|IF2B3_HUMAN,13,25
sp|O00425|IF2B3_HUMAN;sp|Q9NZI8|IF2B1_HUMAN,1,1
sp|O00429|DNM1L_HUMAN,53,92
sp|O00442|RTCA_HUMAN,6,8
sp|O00443|P3C2A_HUMAN,11,15
sp|O00461|GOLI4_HUMAN,2,2
sp|O00462|MANBA_HUMAN,1,1
sp|O00468|AGRIN_HUMAN,31,53
sp|O00469|PLOD2_HUMAN,12,15
sp|O00471|EXOC5_HUMAN,5,6
sp|O00479|HMGN4_HUMAN,1,1
sp|O00483|NDUA4_HUMAN,2,2
sp|O00487|PSDE_HUMAN,13,18
sp|O00488|ZN593_HUMAN,1,1
sp|O00499|BIN1_HUMAN,1,1
sp|O00505|IMA4_HUMAN,17,26
sp|O00505|IMA4_HUMAN;sp|O00629|IMA3_HUMAN,1,2
sp|O00506|STK25_HUMAN,1,1
sp|O00506|STK25_HUMAN;sp|Q9P289|STK26_HUMAN,1,1
sp|O00506|STK25_HUMAN;sp|Q9P289|STK26_HUMAN;sp|Q9Y6E0|STK24_HUMAN,1,2
