protein_group,sequence_count
sp|A0A1W2PPD8|KDM4F_HUMAN,1
sp|A0A1W2PQ72|MSD7_HUMAN,1
sp|A0A1W2PQL4|ZN722_HUMAN;sp|A2RRD8|ZN320_HUMAN;sp|A6NHJ4|ZN860_HUMAN;sp|A6NK53|ZN233_HUMAN;sp|A6NK75|ZNF98_HUMAN;sp|A6NNF4|ZN726_HUMAN;sp|A6NP11|ZN716_HUMAN;sp|A8MTY0|ZN724_HUMAN;sp|A8MUV8|ZN727_HUMAN;sp|B4DU55|ZN879_HUMAN;sp|B4DX44|ZN736_HUMAN;sp|B4DXR9|ZN732_HUMAN;sp|O14628|ZN195_HUMAN;sp|O14709|ZN197_HUMAN;sp|O15090|ZN536_HUMAN;sp|O43309|ZSC12_HUMAN;sp|O43345|ZN208_HUMAN;sp|O43361|ZN749_HUMAN;sp|O75346|ZN253_HUMAN;sp|O75373|ZN737_HUMAN;sp|O75437|ZN254_HUMAN;sp|O75820|ZN189_HUMAN;sp|O95600|KLF8_HUMAN;sp|O95780|ZN682_HUMAN;sp|P0CB33|ZN735_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P0DKX0|ZN728_HUMAN;sp|P0DPD5|ZN723_HUMAN;sp|P10073|ZSC22_HUMAN;sp|P17019|ZN708_HUMAN;sp|P17022|ZNF18_HUMAN;sp|P17026|ZNF22_HUMAN;sp|P17035|ZNF28_HUMAN;sp|P17038|ZNF43_HUMAN;sp|P17040|ZSC20_HUMAN;sp|P17097|ZNF7_HUMAN;sp|P35789|ZNF93_HUMAN;sp|P51522|ZNF83_HUMAN;sp|P51815|ZN75D_HUMAN;sp|P52742|ZN135_HUMAN;sp|P52744|ZN138_HUMAN;sp|Q02386|ZNF45_HUMAN;sp|Q03923|ZNF85_HUMAN;sp|Q03924|ZN117_HUMAN;sp|Q03936|ZNF92_HUMAN;sp|Q03938|ZNF90_HUMAN;sp|Q05481|ZNF91_HUMAN;sp|Q08AN1|ZN616_HUMAN;sp|Q09FC8|ZN415_HUMAN;sp|Q0VGE8|ZN816_HUMAN;sp|Q14584|ZN266_HUMAN;sp|Q14586|ZN267_HUMAN;sp|Q14590|ZN235_HUMAN;sp|Q14593|ZN273_HUMAN;sp|Q15928|ZN141_HUMAN;sp|Q15937|ZNF79_HUMAN;sp|Q16587|ZNF74_HUMAN;sp|Q2M3W8|ZN181_HUMAN;sp|Q2M3X9|ZN674_HUMAN;sp|Q2VY69|ZN284_HUMAN;sp|Q3KP31|ZN791_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q3SXZ3|ZN718_HUMAN;sp|Q3ZCX4|ZN568_HUMAN;sp|Q4V348|Z658B_HUMAN;sp|Q53GI3|ZN394_HUMAN;sp|Q5HY98|ZN766_HUMAN;sp|Q5JNZ3|ZN311_HUMAN;sp|Q5JVG2|ZN484_HUMAN;sp|Q5JVG8|ZN506_HUMAN;sp|Q5SXM1|ZN678_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q5VV52|ZN691_HUMAN;sp|Q68DY1|ZN626_HUMAN;sp|Q6AZW8|ZN660_HUMAN;sp|Q6P280|ZN529_HUMAN;sp|Q6P9G9|ZN449_HUMAN;sp|Q6PDB4|ZN880_HUMAN;sp|Q6ZMV8|ZN730_HUMAN;sp|Q6ZMW2|ZN782_HUMAN;sp|Q6ZN08|ZNF66_HUMAN;sp|Q6ZN19|ZN841_HUMAN;sp|Q6ZN57|ZFP2_HUMAN;sp|Q6ZNA1|ZN836_HUMAN;sp|Q6ZNG1|ZN600_HUMAN;sp|Q6ZR52|ZN493_HUMAN;sp|Q76KX8|ZN534_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q7L945|ZN627_HUMAN;sp|Q7Z3V5|ZN571_HUMAN;sp|Q7Z7L9|ZSCA2_HUMAN;sp|Q86TJ5|ZN554_HUMAN;sp|Q86UE3|ZN546_HUMAN;sp|Q86V71|ZN429_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q86XU0|ZN677_HUMAN;sp|Q86Y25|Z354C_HUMAN;sp|Q8IW36|ZN695_HUMAN;sp|Q8IWY8|ZSC29_HUMAN;sp|Q8IYB9|ZN595_HUMAN;sp|Q8IYN0|ZN100_HUMAN;sp|Q8IZ26|ZNF34_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q8N7Q3|ZN676_HUMAN;sp|Q8N823|ZN611_HUMAN;sp|Q8N859|ZN713_HUMAN;sp|Q8N8C0|ZN781_HUMAN;sp|Q8N8J6|ZN615_HUMAN;sp|Q8N972|ZN709_HUMAN;sp|Q8N988|ZN557_HUMAN;sp|Q8N9F8|ZN454_HUMAN;sp|Q8NB50|ZFP62_HUMAN;sp|Q8NDQ6|ZN540_HUMAN;sp|Q8NEM1|ZN680_HUMAN;sp|Q8NF99|ZN397_HUMAN;sp|Q8NHY6|ZFP28_HUMAN;sp|Q8TAQ5|ZN420_HUMAN;sp|Q8TB69|ZN519_HUMAN;sp|Q8TBZ5|ZN502_HUMAN;sp|Q8TD23|ZN675_HUMAN;sp|Q8TF20|ZN721_HUMAN;sp|Q8TF32|ZN431_HUMAN;sp|Q8TF39|ZN483_HUMAN;sp|Q8WV37|ZN480_HUMAN;sp|Q8WXB4|ZN606_HUMAN;sp|Q96CX3|ZN501_HUMAN;sp|Q96H40|ZN486_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96JC4|ZN479_HUMAN;sp|Q96LX8|ZN597_HUMAN;sp|Q96MR9|ZN560_HUMAN;sp|Q96N22|ZN681_HUMAN;sp|Q96N38|ZN714_HUMAN;sp|Q96NI8|ZN570_HUMAN;sp|Q96PE6|ZIM3_HUMAN;sp|Q96RE9|ZN300_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q99676|ZN184_HUMAN;sp|Q9BX82|ZN471_HUMAN;sp|Q9H5H4|ZN768_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9H8G1|ZN430_HUMAN;sp|Q9HBT7|ZN287_HUMAN;sp|Q9HCG1|ZN160_HUMAN;sp|Q9HCL3|ZFP14_HUMAN;sp|Q9NQX6|ZN331_HUMAN;sp|Q9NV72|ZN701_HUMAN;sp|Q9P255|ZN492_HUMAN;sp|Q9P2F9|ZN319_HUMAN;sp|Q9P2J8|ZN624_HUMAN;sp|Q9UEG4|ZN629_HUMAN;sp|Q9UII5|ZN107_HUMAN;sp|Q9UL36|ZN236_HUMAN;sp|Q9Y2Q1|ZN257_HUMAN;sp|Q9Y473|ZN175_HUMAN,1
sp|A0A1W2PQL4|ZN722_HUMAN;sp|A2RRD8|ZN320_HUMAN;sp|A6NN14|ZN729_HUMAN;sp|A6NP11|ZN716_HUMAN;sp|A8MT65|ZN891_HUMAN;sp|B4DXR9|ZN732_HUMAN;sp|O14628|ZN195_HUMAN;sp|O60765|Z354A_HUMAN;sp|O75346|ZN253_HUMAN;sp|P0CB33|ZN735_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P0DPD5|ZN723_HUMAN;sp|P17035|ZNF28_HUMAN;sp|P17039|ZNF30_HUMAN;sp|P59923|ZN445_HUMAN;sp|Q03936|ZNF92_HUMAN;sp|Q03938|ZNF90_HUMAN;sp|Q08AN1|ZN616_HUMAN;sp|Q15928|ZN141_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q3SXZ3|ZN718_HUMAN;sp|Q5FWF6|ZN789_HUMAN;sp|Q5HY98|ZN766_HUMAN;sp|Q5JVG8|ZN506_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q6ZN06|ZN813_HUMAN;sp|Q6ZN08|ZNF66_HUMAN;sp|Q76KX8|ZN534_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q86XU0|ZN677_HUMAN;sp|Q86YE8|ZN573_HUMAN;sp|Q8IW36|ZN695_HUMAN;sp|Q8IYB9|ZN595_HUMAN;sp|Q8IYX0|ZN679_HUMAN;sp|Q8N782|ZN525_HUMAN;sp|Q8N859|ZN713_HUMAN;sp|Q8N9Z0|ZN610_HUMAN;sp|Q8NB42|ZN527_HUMAN;sp|Q8TB69|ZN519_HUMAN;sp|Q8WV37|ZN480_HUMAN;sp|Q96H40|ZN486_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96JC4|ZN479_HUMAN;sp|Q96JL9|ZN333_HUMAN;sp|Q96LW1|Z354B_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9HBT8|Z286A_HUMAN;sp|Q9NV72|ZN701_HUMAN;sp|Q9P2J8|ZN624_HUMAN;sp|Q9Y2Q1|ZN257_HUMAN,1
sp|A0A1W2PQL4|ZN722_HUMAN;sp|A6NP11|ZN716_HUMAN;sp|A8MQ14|ZN850_HUMAN;sp|B4DXR9|ZN732_HUMAN;sp|O60765|Z354A_HUMAN;sp|O75346|ZN253_HUMAN;sp|P17097|ZNF7_HUMAN;sp|P51523|ZNF84_HUMAN;sp|Q15937|ZNF79_HUMAN;sp|Q63HK3|ZKSC2_HUMAN;sp|Q6PDB4|ZN880_HUMAN;sp|Q8IYX0|ZN679_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q8N823|ZN611_HUMAN;sp|Q8N9F8|ZN454_HUMAN;sp|Q8TF47|ZFP90_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96LW1|Z354B_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9H8G1|ZN430_HUMAN;sp|Q9HCG1|ZN160_HUMAN;sp|Q9NQZ8|ZNF71_HUMAN,1
sp|A0A1W2PR95|IGB1C_HUMAN;sp|P78318|IGBP1_HUMAN,1
sp|A0A286YF58|TM271_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,6
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,5
