protein_group,sequence_count
sp|A2RRD8|ZN320_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P17035|ZNF28_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q6ZN06|ZN813_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q8N782|ZN525_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9NV72|ZN701_HUMAN,1
sp|A2RTX5|SYTC2_HUMAN,2
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,2
sp|A2RU30|TESP1_HUMAN,1
sp|A2RUB1|MEIOC_HUMAN,1
sp|A2RUS2|DEND3_HUMAN,3
sp|A3KMH1|VWA8_HUMAN,12
sp|A3KN83|SBNO1_HUMAN,5
sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,3
sp|A3QJZ6|PRA22_HUMAN,1
sp|A3QJZ7|PRA27_HUMAN,1
sp|A4D0S4|LAMB4_HUMAN;sp|P55268|LAMB2_HUMAN,1
sp|A4D0V7|CPED1_HUMAN,1
sp|A4D1E9|GTPBA_HUMAN,5
sp|A4D1F6|LRRD1_HUMAN,1
sp|A4D1P6|WDR91_HUMAN,2
sp|A4D2B0|MBLC1_HUMAN,1
sp|A4D2H0|CTGEF_HUMAN;sp|Q86UF2|CTGE6_HUMAN;sp|Q96PC5|MIA2_HUMAN,1
sp|A4D2P6|GRD2I_HUMAN,2
sp|A4FU01|MTMRB_HUMAN,2
sp|A4FU28|CTGE9_HUMAN;sp|P0CG41|CTGE8_HUMAN;sp|Q8IX94|CTGE4_HUMAN,1
sp|A4FU28|CTGE9_HUMAN;sp|Q96PC5|MIA2_HUMAN,1
sp|A4FU69|EFCB5_HUMAN,1
sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN,1
sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN;sp|Q8N8J0|PI4P1_HUMAN,1
sp|A4UGR9|XIRP2_HUMAN,2
sp|A5A3E0|POTEF_HUMAN,3
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,3
